I0708 02:04:46.356845       1 azuredisk.go:65] 
DRIVER INFORMATION:
-------------------
Build Date: "2019-04-15T07:48:30Z"
Compiler: gc
Driver Name: disk.csi.azure.com
Driver Version: v0.2.0-alpha
Git Commit: eb37d28331fc88d4021bda2567c0ae6092aa016c
Go Version: go1.12.1
Platform: linux/amd64
Topology Key: topology.disk.csi.azure.com/zone

Streaming logs below:
I0708 02:07:03.011880       1 azure_controller_standard.go:77] azureDisk - update(MC_andy-virtualnode_andy-virtualnode_eastus2): vm(aks-agentpool-41197296-0) - attach disk(pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d)
I0708 02:07:19.142897       1 utils.go:106] GRPC call: /csi.v1.Identity/Probe
I0708 02:07:19.142912       1 utils.go:107] GRPC request: 
I0708 02:07:19.142945       1 utils.go:112] GRPC response: ready:<value:true > 
I0708 02:07:38.506091       1 azure_controller_standard.go:94] azureDisk - attach disk(pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d) succeeded
I0708 02:07:38.506121       1 controllerserver.go:338] Attach operation successful: volume "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d" attached to node "aks-agentpool-41197296-0".
I0708 02:07:38.506138       1 controllerserver.go:343] attach volume "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d" lun 0 to node "aks-agentpool-41197296-0" successfully
I0708 02:07:38.506155       1 hashed.go:54] hashedKeyMutex.UnlockKey(...) called for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0"
I0708 02:07:38.506164       1 hashed.go:56] hashedKeyMutex.UnlockKey(...) for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0" completed.
I0708 02:07:38.506174       1 utils.go:112] GRPC response: publish_context:<key:"devicePath" value:"0" > 
I0708 02:07:49.141956       1 utils.go:106] GRPC call: /csi.v1.Identity/Probe
I0708 02:07:49.141971       1 utils.go:107] GRPC request: 
I0708 02:07:49.142003       1 utils.go:112] GRPC response: ready:<value:true > 
I0708 02:08:19.142076       1 utils.go:106] GRPC call: /csi.v1.Identity/Probe
I0708 02:08:19.142261       1 utils.go:107] GRPC request: 
I0708 02:08:19.142338       1 utils.go:112] GRPC response: ready:<value:true > 
I0708 02:08:49.141928       1 utils.go:106] GRPC call: /csi.v1.Identity/Probe
I0708 02:08:49.142011       1 utils.go:107] GRPC request: 
I0708 02:08:49.142215       1 utils.go:112] GRPC response: ready:<value:true > 
I0708 02:09:19.141808       1 utils.go:106] GRPC call: /csi.v1.Identity/Probe
I0708 02:09:19.141822       1 utils.go:107] GRPC request: 
I0708 02:09:19.141856       1 utils.go:112] GRPC response: ready:<value:true > 
I0708 02:09:39.452064       1 utils.go:106] GRPC call: /csi.v1.Controller/ControllerUnpublishVolume
I0708 02:09:39.452163       1 utils.go:107] GRPC request: volume_id:"/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d" node_id:"aks-agentpool-41197296-0" 
